char,"[32, 16, 8, 4, 2]","[32, 16, 8, 4]","[32, 16, 8]","[32, 16]",[32]
chcsho_12m,0.037755257302578116,0.05151590248409832,0.05354418389839566,0.061565824362965316,0.05971347310417485
coa_gr1a,0.015415563541502308,0.024515313971683383,0.023710961308523792,0.02724431123569815,0.024630589661519764
col_gr1a,0.013599662770864995,0.020934803459041973,0.02332662923313933,0.02323948971401535,0.0189482761496933
cop_at,0.027982273395465995,0.04561860078457869,0.050554959661511134,0.05068974100890955,0.05314990414304788
cop_atl1,0.01347276244376161,0.03041346837672876,0.033110969113366195,0.03253741480009609,0.035535790770680364
corr_1260d,0.04992505286860194,0.044334742385203185,0.051097766152857105,0.051153232020716644,0.05230003828138052
coskew_21d,0.017119672674574815,0.022043215434521812,0.02226991268804568,0.023770392600653167,0.019666680968953187
cowc_gr1a,0.013124675655980411,0.017681743150482987,0.019990539884915393,0.020325346315111403,0.020053998245813887
dbnetis_at,0.020720420750102164,0.02681595997904651,0.026941303270575645,0.028437833080417363,0.026572462234099703
debt_gr3,0.023808860015371636,0.02690680632868947,0.03125059674880504,0.030033186468443773,0.03180840649341121
debt_me,0.058710749096995585,0.0647334668709334,0.06770846150305232,0.06981550707761386,0.06357236629957441
dgp_dsale,0.020210629748255826,0.02770924960087484,0.02941438608300473,0.029833614697174937,0.026778104182689333
div12m_me,0.07742352743583325,0.06393141297991178,0.07076463247644682,0.07298122049344613,0.07512218172961838
dolvol_126d,0.07007198960157268,0.1374808120341129,0.15858216552126692,0.20205567306132366,0.244763243811839
dolvol_var_126d,0.16359036673608784,0.16486101952344967,0.17191190224869501,0.18648363668651768,0.18340286017739516
dsale_dinv,0.01481697800911519,0.019584568462384766,0.02034678767806497,0.020869974339419173,0.018798125486007677
dsale_drec,0.013082725608278167,0.02035589162780127,0.020711946249463153,0.020131861352346903,0.019185738387470508
dsale_dsga,0.01762804811416885,0.021058715662988448,0.02287245280338368,0.02361315612048287,0.02316039349697263
earnings_variability,0.017200681164247555,0.02199467971863811,0.022269695079174312,0.02298856683442807,0.022522191781135348
ebit_bev,0.04513173307128682,0.044053384616709934,0.040925124645639244,0.046097010029100716,0.054070208333648395
ebit_sale,0.05644091373791582,0.06366755134453683,0.06357444005388402,0.06817296843126996,0.08595124270210874
ebitda_mev,0.04942969762024774,0.06475793196875657,0.05887386320385701,0.07056154190579633,0.07727031920794047
emp_gr1,0.014595925272644195,0.020557611335377146,0.020209356897026964,0.02220828622855464,0.01838279598221959
eq_dur,0.007039617620904437,0.036964974447165844,0.03562086619785276,0.03878320888381381,0.0398860220675985
eqnetis_at,0.021776236026944673,0.04054674509941947,0.043642093250603864,0.04431073881766423,0.03882648553255308
eqnpo_12m,0.04082284763665456,0.03234485074876403,0.03612175225121206,0.037703820012851,0.04773365755514902
eqnpo_me,0.02413268497991794,0.03131201017930607,0.033894654575718164,0.03384265425584232,0.041603700935723964
eqpo_me,0.05691279051925591,0.044283302026556726,0.04683743433788834,0.04893124860599585,0.04995939650014236
f_score,0.03118388776861991,0.03090921608902164,0.030445496307159203,0.03059086269285416,0.0322506122364814
fcf_me,0.045292113552442004,0.04385899527006387,0.04558408317055296,0.05047421274174013,0.0398576890875475
fnl_gr1a,0.023462816468530434,0.03374199285131141,0.03498501566531331,0.03897969822353531,0.039539510120221166
gp_at,0.10198074390945777,0.09417502440069825,0.10091076033846491,0.12667164344734516,0.17063847495830942
gp_atl1,0.024547280773397517,0.05439213402211607,0.05271536463792614,0.05412765489564464,0.07513481340176043
ival_me,0.02685967927706656,0.035165975726350496,0.032504324393521244,0.03340210588233106,0.03243275736839735
inv_gr1,0.014664213855198227,0.02235842028414936,0.024681887986744755,0.025183572673824983,0.02513796601338214
inv_gr1a,0.02477269166620033,0.0286787463440632,0.02922897752463882,0.029717996111365608,0.028281273861075817
iskew_capm_21d,0.025301582793169075,0.02679144541059486,0.02890777485605156,0.030834722127536907,0.034797298403951515
iskew_ff3_21d,0.015103898273792993,0.01898623420689205,0.021511245817926294,0.022406494864505078,0.022961499880729264
iskew_hxz4_21d,0.015599853042921552,0.018811593831578932,0.019728854310194777,0.02031893514722327,0.020862500513487703
ivol_capm_21d,0.09288375888611,0.07629471380199249,0.09174927432304258,0.06866824607479316,0.08756730388277845
ivol_capm_252d,0.7262949861531212,0.6101765190223034,0.6222087028596661,0.6523664266850062,0.6201024800372394
ivol_ff3_21d,0.037196162696552904,0.10054471877754168,0.1044946038547252,0.10851248623029619,0.10993266484595665
ivol_hxz4_21d,0.14659876218576073,0.10950355064015582,0.10328011787107982,0.12379770827210024,0.1204071597375318
kz_index,0.021528110136799228,0.030803671313321956,0.03387256643675585,0.03657019117432725,0.03759531322464227
lnoa_gr1a,0.014339229168079726,0.02513571272905324,0.02526608550230236,0.027161092562792533,0.0269244370754933
lti_gr1a,0.009721951105611026,0.01807104804959181,0.017712988592990087,0.020291688405407626,0.01561259159431927
market_equity,0.2178570708293961,0.18183032404071042,0.19349143204296126,0.2116089488806736,0.2682799769665465
mispricing_mgmt,0.02260351406378902,0.03769237258531177,0.0384263656945123,0.04456196082653463,0.04647400223220188
mispricing_perf,0.058447402426523354,0.04379930441125168,0.03711606924186839,0.05237298885453612,0.07273016641050845
ncoa_gr1a,0.027212652278279847,0.026262191755861863,0.027073169844904044,0.028462787959625757,0.030181953138551876
ncol_gr1a,0.01860491479600057,0.023665424880853436,0.025205013544947974,0.024446342620088046,0.025299971103137864
netdebt_me,0.06871847487438743,0.07035380844989447,0.07708781376614127,0.0879237292812789,0.10746119396026899
netis_at,0.017872120124295066,0.02405310116611048,0.023971712490812536,0.025194362597758868,0.02525792714942554
nfna_gr1a,0.02303942558106087,0.03309417926074332,0.03389349170569744,0.03651379957644707,0.041803128138333534
ni_ar1,0.01598304283006513,0.021440616262943024,0.021511015942330403,0.023176180733656793,0.02077471595128344
ni_be,-0.009863255602660104,0.01388517471950479,0.012442251225380119,0.013117600746099356,0.0179416190606716
ni_inc8q,0.021518377164220226,0.02653578122288991,0.02873552546653002,0.031000111745633774,0.02834436604729973
ni_ivol,0.07358666022621208,0.05605951955716648,0.05937361999681201,0.05820704761433859,0.05121988137227618
ni_me,0.1145296947088923,0.09004763107569147,0.08664299598646608,0.10285155941282653,0.09952504655699101
niq_at,0.09993301505120655,0.08235302659253563,0.0851098880971719,0.08149033969126407,0.079224864095778
niq_at_chg1,0.023137799153388983,0.03185514140374579,0.03292266380976372,0.03292687198624833,0.032193961546703065
niq_be,-0.020335542875997703,0.039800881611917305,0.040547841491786585,0.04478692030617992,0.04052815000546417
niq_be_chg1,0.02368407149825913,0.031978654658722405,0.03232895314064166,0.03422562591207878,0.03148614756933199
niq_su,0.02104553537411391,0.026840574140479134,0.02708708680253835,0.02821640024836114,0.02625302671944496
nncoa_gr1a,0.015883015735994377,0.02174013846935452,0.02545817909201986,0.0251972503775022,0.02608850740566737
noa_at,0.0399318130841948,0.05355312490604547,0.05451123291573623,0.05176737897050998,0.052180370844219226
noa_gr1a,0.015279790251256031,0.025421585065984686,0.023202785797458603,0.02521291405247439,0.02612222237318207
o_score,0.040430313300412024,0.04719319997857241,0.053210267431559544,0.06204037615422919,0.055577888265901265
oaccruals_at,0.0316701475126564,0.03917047450281075,0.04480452851434791,0.04013204669949033,0.05177515044338321
oaccruals_ni,0.04071168472896147,0.04369380990429761,0.0400593208345299,0.04506468748625281,0.04612368878487416
ocf_at,0.1664572688689816,0.15856077199039476,0.16053592865553412,0.15519204583672774,0.17069740110135
ocf_at_chg1,0.014964416890009602,0.018964840425091722,0.019890468510944004,0.02191871687852398,0.01987179676075357
ocf_me,0.020934274004282827,0.057843025494094036,0.05923546120205714,0.06039936704721072,0.05923584530653159
ocfq_saleq_std,0.043958812917033185,0.04495624542445853,0.04379721847453766,0.04630619101825317,0.03801562698895822
op_at,0.04121882004154287,0.05103414402431383,0.06563496210890207,0.0645514086133474,0.07203519809259262
op_atl1,0.041187485390409506,0.02812481088741947,0.02949596241872854,0.03324773004153769,0.04266337324086322
ope_be,0.03019335063768125,0.02373010446665802,0.02547451854081828,0.025988119174307656,0.027544803020283837
ope_bel1,0.013850857112061021,0.02270579923591498,0.0225067510745518,0.027414323683331077,0.022788396765427876
opex_at,0.21050540205580148,0.24498965743157441,0.2554561176024919,0.24945499634373647,0.2841601099376163
pi_nix,0.023796159843001874,0.02529063564697509,0.025841485171220313,0.027883372502287784,0.02735222970943596
ppeinv_gr1a,0.01926214544950966,0.02680215475341896,0.025187443112905328,0.027708924984075622,0.02493606391353609
prc,0.5459966243422159,0.5844586749309073,0.5634139717893873,0.5798144269700103,0.5365845017039135
prc_highprc_252d,0.3644404639999337,0.33317016581698056,0.33702227193988676,0.3420398674373004,0.3076591393823378
qmj,0.026437631673616124,0.02567911432006298,0.0286664903809708,0.034675021954654994,0.044579368187129376
qmj_growth,0.030880218618868582,0.04463166850679556,0.042555932293282694,0.04142874700416854,0.04264887802683859
qmj_prof,-0.0052605965586280945,0.010907683021756043,0.015426977772726502,0.015878562531980833,0.04248621284723697
qmj_safety,0.029275650037135392,0.06371059311643279,0.06038508900761741,0.06769250070789923,0.07895430542142634
rd_me,0.024172792675699384,0.02250986932687482,0.026876923918592865,0.02814050020585057,0.033501678860396567
rd_sale,0.025444320108128693,0.031310813555172956,0.032983253090478115,0.032301264364178905,0.025993378163640557
rd5_at,0.01646293237715213,0.020263519770281846,0.019838448837639078,0.02086686337774779,0.021483524364342088
resff3_12_1,0.029309678946688678,0.036909682709968195,0.0369105915985557,0.037733131767147654,0.03577672921443309
resff3_6_1,0.020973061154968775,0.0304293424092279,0.031550876959435925,0.0345323711408696,0.03657747398023048
ret_1_0,0.056311071425547254,0.07384858734678801,0.07532032606112438,0.08056593796573708,0.08889543451847004
ret_12_1,0.06449814156140121,0.08033695489139348,0.0787949318918848,0.08582577426649607,0.07485774113484212
ret_12_7,0.03867771164211575,0.04736192569820474,0.046679959287970973,0.0493466130776099,0.04823828078668413
ret_3_1,0.03487394780857045,0.051765733640998235,0.05455758928457044,0.055268944048009416,0.05436151922425836
ret_6_1,0.07114122473439011,0.08037919908479552,0.07895363217286189,0.08121719350471324,0.07104317774116709
ret_60_12,0.07046081075617394,0.07903151819176202,0.07893601749189827,0.08135576638979103,0.07507567998376885
ret_9_1,0.04173549271884269,0.06149006487295594,0.06483901296652306,0.06025001870682445,0.050658874739056614
