char,"[32, 16, 8, 4, 2]","[32, 16, 8, 4]","[32, 16, 8]","[32, 16]",[32]
qmj_growth,3.3508115141708144e-05,4.117672064269942e-05,7.977004206857218e-05,0.00012325799878654735,0.00016454114948340667
qmj_prof,7.173680091338411e-05,5.7088031571950417e-05,8.730968332549089e-05,0.00021102642860614513,0.00019703955389682647
qmj_safety,3.49978417515511e-05,5.8200150236616054e-05,0.00010925163689471488,0.00014509749543364017,0.0002829783904453045
rd_me,0.0002215629962386815,0.00038322123832146385,0.0004988918582503624,0.0006721552721741562,0.0007724871875549069
rd_sale,0.00010038040901419854,0.0001611792489122169,0.00025005218604425716,0.0003121984645888774,0.0004636825807920609
rd5_at,4.2718584432429724e-05,7.678155704420533e-05,0.00010783948620222581,0.0001439185928840265,0.0001744894120707848
resff3_12_1,0.00032244131859257,0.00048069700017584294,0.0007130837458604879,0.0010406312104860591,0.001422749520224792
resff3_6_1,5.75499101240362e-05,9.986962155746473e-05,0.0001194035064805252,0.00020770545701890512,0.0004359953508429838
ret_1_0,0.0008088967743389096,0.0010827612154413106,0.0014270700841608813,0.0019877413686163604,0.0024005724742435374
ret_12_1,0.00012883947991009696,0.00015151395189008047,0.00030786596860807715,0.000397364942804917,0.0006302123921457975
ret_12_7,0.00013993915826716492,0.00018693087724116748,0.00029290800182876303,0.00038335293483001304,0.0005421324283788357
ret_3_1,0.00031677906147837816,0.0005011469262855032,0.0007093172954896066,0.0010144087274594697,0.0012472552218163375
ret_6_1,0.00018526943961279523,0.00029565175910742814,0.00038836268009899855,0.0006280102808469089,0.0009439021956215379
ret_60_12,1.7053439980091098e-05,4.370247717330904e-05,9.067300662271365e-05,0.00013102472395767087,0.00019316458789262738
ret_9_1,0.0004997567305097408,0.0004984341085604477,0.0006324252508874375,0.0007564954048255298,0.0010475727277385607
rmax1_21d,8.819107037201175e-05,6.203989662149131e-05,0.00015438284145618663,0.00012307028134884748,0.000324523460154582
rmax5_21d,0.0003301292003804439,0.00022436702611173623,0.0003973907240369807,0.00040915636650739137,0.0008680680609497199
rmax5_rvol_21d,0.0002770558132360195,0.00037281690609502436,0.00043792442860551535,0.0005949101641529321,0.0007168893314478894
rskew_21d,4.6119725910664386e-05,6.474566726557112e-05,8.433093544435059e-05,0.00012516736358983625,0.0002239879484005562
rvol_21d,0.00017255319704589394,0.00020464787402430347,0.0003607256692253724,0.00041933997986584267,0.0012834983638910908
sale_bev,8.166285102349343e-05,0.00012197480022897416,0.00017636832495251728,0.00020730964516342074,0.0002903225883079136
sale_emp_gr1,2.803336881689394e-05,4.893729866666309e-05,9.214932350450719e-05,0.0001353603332449517,0.00019147338669755711
sale_gr1,4.911732959941119e-05,9.157954610638396e-05,0.00020154677463389242,0.0001788558393478426,0.0003121729041737247
sale_gr3,1.6580781483382933e-05,5.1150772850920776e-05,0.0001098318768154886,0.0001890062348391641,0.0002487651732946839
sale_me,0.00011006822418626988,0.00013430323646002992,0.00025013175599828167,0.00031755997864567196,0.0006727137353535047
saleq_gr1,0.0001030415037064182,0.000177981175444168,0.00026496457016176564,0.0003625450503295568,0.0005404305445916498
saleq_su,5.404051712391492e-05,7.319235896892201e-05,9.811352214351498e-05,0.00013460252496750615,0.00016737288324689386
seas_1_1an,0.00012847282680302806,0.00019189518729061642,0.0002781284449166773,0.00036589366176076056,0.00048220005044628366
seas_1_1na,6.911721656547639e-05,0.00019045401104488672,0.0002595049637553504,0.0005374139620813737,0.0010212769107790251
seas_11_15an,2.8654875573090123e-05,4.213400798963441e-05,4.823855725669547e-05,6.489630957917753e-05,7.516185377399507e-05
seas_11_15na,9.617414546183162e-06,1.451861965259845e-05,2.1681931773244883e-05,3.044840579197368e-05,4.909343396230899e-05
seas_16_20an,1.2367068878525769e-05,1.7797133106887382e-05,2.05561552490671e-05,2.774954193429517e-05,4.652247646912388e-05
seas_16_20na,4.4574952606985975e-06,8.757443247154869e-06,1.2222394631704567e-05,1.625849161920067e-05,2.8521140130770425e-05
seas_2_5an,0.0001462097224210237,0.00021311291596348028,0.00025881317877291454,0.0003368435814721336,0.0004247117500230283
seas_2_5na,4.6525854630576695e-05,6.617472779364675e-05,0.00010910327362686658,0.00018421904903060093,0.00022867483928873104
seas_6_10an,7.845026359658385e-05,0.00010878338487865579,0.00014268351867583446,0.0001794542050528524,0.00020833601988358845
seas_6_10na,2.0382332691971983e-05,4.2813219963484545e-05,5.712795003401168e-05,7.39485286983839e-05,9.515697213393141e-05
sti_gr1a,2.088379351148112e-05,4.437548078013768e-05,5.640748675032123e-05,5.343554129307358e-05,0.00010099500020987958
taccruals_at,2.5518592546387793e-05,8.339304801516696e-05,0.00012718332563202957,0.0001517449941392706,0.0002965818792655865
taccruals_ni,3.0383062152309212e-05,7.049427264664385e-05,8.532133585570081e-05,0.00010975305575594057,0.00026393565283209716
tangibility,9.883992060431921e-05,0.00016924986015187042,0.0002719080658061589,0.0003594451768822372,0.00041092497766176997
tax_gr1a,1.347785259796058e-05,4.058202192848574e-05,6.557728824553218e-05,0.00010642804741705083,0.0001492017843088526
turnover_126d,0.0005210223925972889,0.0007018632458431231,0.0008040960389917026,0.0012593840653817574,0.002083458854739106
turnover_var_126d,3.842542684106446e-05,6.175162550719426e-05,9.159402869478336e-05,0.00016403902079649427,0.0006374823112938676
z_score,5.237756093943317e-05,0.00010378643146020017,0.0001978499779017762,0.0002819841594817893,0.0003890069984747202
zero_trades_126d,9.947125760729553e-05,0.00016700922343079754,0.0002576179282970166,0.0002879061506103153,0.0005177955077995485
zero_trades_21d,0.0019030817347301357,0.002526815893403057,0.003544229229855021,0.004670582548001649,0.007380388742389296
zero_trades_252d,0.0002598389877107077,0.0003266846859894872,0.0005686062680085222,0.0007546731994873283,0.001086941970340741
